SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1;""1"";1;Ledelsesarbejde;Ledelsesarbejde er defineret ved", at omfatte personer som vedtager, planlægger, koordinerer og sikrer udførelsen af den overordnede aktivitet i private og offentlige virksomheder eller organisationer eller i organisatoriske afdelinger indenfor disse virksomheder eller organisationer.;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2;""11"";2;Øverste ledelse i lovgivende myndigheder", virksomheder og organisationer;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3;""111"";3;""Øverste ledelse i lovgivende myndigheder"," offentlige virksomheder og organisationer "";",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4;""1111"";4;Øverste ledelse i lovgivende myndigheder;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5;""111100"";5;Øverste ledelse i lovgivende myndigheder;;Borgerrepræsentant", Borgmester, Byrådsmedlem, EU parlamentsmedlem, Folketingsmedlem, Kommunalbestyrelsesmedlem, Medlem af EU parlament, Ministerråd, Overborgmester, Socialudvalgsformand, Øverste ledelse i lovgivende myndigheder;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6;""1112"";4;""Øverste ledelse i offentlige virksomheder "";",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7;""111200"";5;Øverste ledelse i offentlige virksomheder;;Afdelingschef - stat", Ambassadør, Beredskabschef, Beredskabsdirektør, Beredskabsinspektør, Biskop, Brandinspektør, Brigadechef (redningsberedskab), Departementschef, Diplomat, Embedslæge, Forbrugerombudsmand, Fængselsinspektør, Kolonnechef (Redningsberedskab), Kommunaldirektør, Konsul, Kredsdyrlæge, Kredslæge, Ligningschef, Luftfartsdirektør, Medicinaldirektør, Ombudsmand, Politidirektør, Retspræsident, Rigsadvokat, Rigsarkivar, Rigspolitichef, Rigsrevisor, Skattedirektør, Skatteinspektør, Skoledirektør, Socialchef, Socialdirektør, Stadsarkitekt, Stadsarkivar, Stadsdyrlæge, Stadsgartner, Stadsingeniør, Stadslæge, Styrelseschef, Undervisningsdirektør, Universitetsdirektør, Veterinærdirektør, Veterinærinspektør, Viceberedskabschef, Viceberedskabsdirektør, Vicebrandchef, Øverste ledelse i offentlige virksomheder;,,,,,,,,,,,
"8;""1114"";4;Øverste ledelse i interesseorganisationer;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9;""111400"";5;Øverste ledelse i interesseorganisationer;;A-Kasse Formand", Amtskredsformand, Amtskredssekretær, AOF Formand, Fagforeningsformand, Forbundsformand, Forbundsnæstformand, Korpschef, Landsformand - politik, Landssekretær - politik, Museumsformand, Partiformand, Partisekretær, Øverste ledelse i interesseorganisationer;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10;""112"";3;Øverste virksomhedsledelse;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11;""1120"";4;Øverste virksomhedsledelse;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12;""112010"";5;Øverste administrerende virksomhedsledelse;;bestyrelsesmedlem", Adm. Direktør, Jernbanedirektør, Koncerndirektør, Nationalbankdirektør, Øverste administrerende virksomhedsledelse;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13;""112020"";5;Virksomhedsledelse af tværgående funktioner;;Vice Adm. Direktør", Vicegeneraldirektør, Virksomhedsledelse af tværgående funktioner;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14;""12"";2;Ledelse inden for administration og erhvervsorienterede funktioner;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15;""121"";3;Ledelse inden for forretningsservice og administrative funktioner;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16;""1211"";4;Ledelse inden for økonomifunktioner;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
