1,1,Ledelsesarbejde,Ledelsesarbejde er defineret ved at omfatte personer som vedtager planlægger koordinerer og sikrer udførelsen af den overordnede aktivitet i private og offentlige virksomheder eller organisationer eller i organisatoriske afdelinger indenfor disse virksomheder eller organisationer.
11,2,Øverste ledelse i lovgivende myndigheder virksomheder og organisationer,
111,3,Øverste ledelse i lovgivende myndigheder offentlige virksomheder og organisationer ,
1111,4,Øverste ledelse i lovgivende myndigheder,
111100,5,Øverste ledelse i lovgivende myndigheder,Borgerrepræsentant Borgmester Byrådsmedlem EU parlamentsmedlem Folketingsmedlem Kommunalbestyrelsesmedlem Medlem af EU parlament Ministerråd Overborgmester Socialudvalgsformand Øverste ledelse i lovgivende myndigheder
1112,4,Øverste ledelse i offentlige virksomheder ,
111200,5,Øverste ledelse i offentlige virksomheder,Afdelingschef - stat Ambassadør Beredskabschef Beredskabsdirektør Beredskabsinspektør Biskop Brandinspektør Brigadechef (redningsberedskab) Departementschef Diplomat Embedslæge Forbrugerombudsmand Fængselsinspektør Kolonnechef (Redningsberedskab) Kommunaldirektør Konsul Kredsdyrlæge Kredslæge Ligningschef Luftfartsdirektør Medicinaldirektør Ombudsmand Politidirektør Retspræsident Rigsadvokat Rigsarkivar Rigspolitichef Rigsrevisor Skattedirektør Skatteinspektør Skoledirektør Socialchef Socialdirektør Stadsarkitekt Stadsarkivar Stadsdyrlæge Stadsgartner Stadsingeniør Stadslæge Styrelseschef Undervisningsdirektør Universitetsdirektør Veterinærdirektør Veterinærinspektør Viceberedskabschef Viceberedskabsdirektør Vicebrandchef Øverste ledelse i offentlige virksomheder
1114,4,Øverste ledelse i interesseorganisationer,
111400,5,Øverste ledelse i interesseorganisationer,A-Kasse Formand Amtskredsformand Amtskredssekretær AOF Formand Fagforeningsformand Forbundsformand Forbundsnæstformand Korpschef Landsformand - politik Landssekretær - politik Museumsformand Partiformand Partisekretær Øverste ledelse i interesseorganisationer
112,3,Øverste virksomhedsledelse,
1120,4,Øverste virksomhedsledelse,
112010,5,Øverste administrerende virksomhedsledelse,bestyrelsesmedlem Adm. Direktør Jernbanedirektør Koncerndirektør Nationalbankdirektør Øverste administrerende virksomhedsledelse
112020,5,Virksomhedsledelse af tværgående funktioner,Vice Adm. Direktør Vicegeneraldirektør Virksomhedsledelse af tværgående funktioner
12,2,Ledelse inden for administration og erhvervsorienterede funktioner,
121,3,Ledelse inden for forretningsservice og administrative funktioner,
1211,4,Ledelse inden for økonomifunktioner,
121100,5,Ledelse inden for økonomifunktioner,Amtsforvalter Finansdirektør Regnskabsdirektør Viceøkonomichef Økonomichef Økonomidirektør Ledelse inden for økonomifunktioner
1212,4,Ledelse inden for HR-funktioner,
121200,5,Ledelse inden for HR-funktioner,Løn og personalechef Lønningschef Personaleadministrator Personalechef Personaledirektør Rekrutteringschef Uddannelseschef Ledelse inden for HR-funktioner
1213,4,Ledelse inden for offentlig administration og virksomhedsstrategi/policy området,
121310,5,Ledelse inden virksomhedsstrategi/policy området,Ledelse inden virksomhedsstrategi/policy området
121320,5,Administrativ ledelse i den offentlige sektor,Administrativ ledelse i den offentlige sektor
1219,4,Ledelse inden for anden forretningsservice og andre administrative funktioner,
121910,5,Ledelse af rengøringsfunktioner o.l.,Ledelse af rengøringsfunktioner o.l.
121920,5,Ledelse af logistikfunktioner,Leverancechef Logistikchef Materielchef Ledelse af logistikfunktioner
121990,5,Anden ledelse inden for forretningsservice og administrative funktioner i øvrigt,Abonnementschef Emballagechef Kvalitetschef Kvalitetsdirektør Miljøchef Rationaliseringschef Rationaliseringsleder Registreringschef Reklamationschef Servicechef Sikringschef Anden ledelse inden for forretningsservice og administrative funktioner i øvrigt
122,3,Ledelse af forretnings- og udviklingsorienterede funktioner,
1221,4,Ledelse af salg og marketing,
122100,5,Ledelse af salg og marketing,Afsætningschef Agenturchef Akkvisitionschef Akkvisitørchef Eksportchef Eksportdirektør Eksportsalgschef Markedsdirektør Marketingchef Marketingdirektør Marketingschef Marketingsdirektør Mediachef Prischef Produktchef Sales Manager Salgsafdelingschef Salgschef Salgsdirektør Ledelse af salg og marketing
1222,4,Ledelse af reklame og PR,
122200,5,Ledelse af reklame og PR,PR chef Pressechef Reklamechef Ledelse af reklame og PR
1223,4,Ledelse af kommerciel forskning og udvikling,
122300,5,Ledelse af kommerciel forskning og udvikling,Forskningschef Produktudviklingschef Researchchef Udviklingschef Udviklingsdirektør Ledelse af kommerciel forskning og udvikling
13,2,Ledelse af hovedaktiviteten inden for produktions- og servicevirksomhed,
131,3,Ledelse af produktion i landbrug skovbrug og fiskeri,
1311,4,Ledelse af produktion i landbrug og skovbrug,
131100,5,Ledelse af produktion i landbrug og skovbrug,Godsejer Gårdforpagter Kyllingefarmer Landbrugsforpagter Proprietær Ledelse af produktion i landbrug og skovbrug
1312,4,Ledelse af produktion inden for akvakultur og fiskeri,
131200,5,Ledelse af produktion inden for akvakultur og fiskeri,Fiskeriforpagter Ledelse af produktion inden for akvakultur og fiskeri
132,3,Ledelse af hovedaktiviteten inden for fremstillingsvirksomhed råstofudvinding byggeri forsyning distribution mv.,
1321,4,Ledelse af hovedaktiviteten inden for fremstillingsvirksomhed (undtagen landbrug skovbrug og fiskeri),
132100,5,Ledelse af hovedaktiviteten inden for fremstillingsvirksomhed (undtagen landbrug skovbrug og fiskeri),Bagerichef Bladchef Bladudgiver Bogtrykkeridirektør Bryggerichef Driftsdirektør Fabrikschef Fabriksdirektør Forlagsleder Forlægger Kunstforlægger Mejerichef Mejeridirektør Mejerileder Musikforlægger Produktionschef Produktionsdirektør Savværksleder Støberichef Støberileder Tapperichef Teknisk direktør Trykkerichef Udgiver Værkchef Væverileder Ledelse af hovedaktiviteten inden for fremstillingsvirksomhed (undtagen landbrug skovbrug og fiskeri)
1322,4,Ledelse af hovedaktiviteten inden for råstofudvinding,
132200,5,Ledelse af hovedaktiviteten inden for råstofudvinding,Platformschef/OIM (Offshore) Ledelse af hovedaktiviteten inden for råstofudvinding
1323,4,Ledelse af hovedaktiviteten inden for bygge- og anlægsvirksomhed,
132300,5,Ledelse af hovedaktiviteten inden for bygge- og anlægsvirksomhed,Byggeentreprenør Bygmester Entreprenør Entreprisechef Ledelse af hovedaktiviteten inden for bygge- og anlægsvirksomhed
1324,4,Ledelse af hovedaktiviteten inden for forsyning distribution o.l.,
132400,5,Ledelse af hovedaktiviteten inden for forsyning distribution o.l.,Budcentralindehaver Depotbestyrer Depotchef Depotejer Depotindehaver Distributionschef Distributionsdirektør Energichef Ferskvarechef Forsyningschef Importchef Importleder Importmanager Indkøbschef Indkøbsdirektør Kraftværkschef Lagerchef Rutebilforpagter Ledelse af hovedaktiviteten inden for forsyning distribution o.l.
133,3,Ledelse af hovedaktiviteten inden for informations- og kommunikationsteknologi ,
1330,4,Ledelse af hovedaktiviteten inden for informations- og kommunikationsteknologi ,
133010,5,Ledelse af hovedaktiviteten inden for informations- og kommunikationsteknologi (Business to Business),IT-chef IT-direktør Ledelse af hovedaktiviteten inden for informations- og kommunikationsteknologi (Business to Business)
133020,5,Ledelse af intern IT,IT-chef IT-direktør Ledelse af intern IT
134,3,Ledelse af hovedaktiviteten inden for servicefag,
1341,4,Ledelse af hovedaktiviteten inden for pædagogisk arbejde med og omsorg for børn,
134100,5,Ledelse af hovedaktiviteten inden for pædagogisk arbejde med og omsorg for børn,Børnehavebestyrer Børnehaveforpagter Børnehjemsleder Fritidscenterleder Fritidshjemsbestyrer Fritidshjemsleder Klubhusbestyrer Klubleder Vuggestueleder Ledelse af hovedaktiviteten inden for pædagogisk arbejde med og omsorg for børn
1342,4,Ledelse af hovedaktiviteten inden for sundhedsområdet,
134200,5,Ledelse af hovedaktiviteten inden for sundhedsområdet,Hospitalsdirektør Hospitalsforstander Sygehusadministrator Sygehuschef Sygehusdirektør Sygehusforstander Sygehusforvalter Ledelse af hovedaktiviteten inden for sundhedsområdet
1343,4,Ledelse af hovedaktiviteten inden for ældreplejen,
134300,5,Ledelse af hovedaktiviteten inden for ældreplejen,Hvilehjemsbestyrer Hvilehjemsejer Hvilehjemsforstander Plejehjemsbestyrer Plejehjemsforstander Plejehjemsleder Ledelse af hovedaktiviteten inden for ældreplejen
1344,4,Ledelse af hovedaktiviteten inden for det sociale område,
134400,5,Ledelse af hovedaktiviteten inden for det sociale område,Asylbestyrer Asylleder Orlogshjemsleder Socialcenterleder Ledelse af hovedaktiviteten inden for det sociale område
1345,4,Ledelse af hovedaktiviteten inden for undervisningsområdet,
