id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
0;searchpage;requests;1598065167.4333408;-3.985761880874634;https://www.jobindex.dk/jobsoegning?lang=da?page=1.html;https://www.jobindex.dk/jobsoegning?lang=da?page=1.html;223718;200;True;
1;searchpage;requests;1598065203.1600113;-6.380025386810303;https://www.jobindex.dk/jobsoegning?lang=da?page=1.html;https://www.jobindex.dk/jobsoegning?lang=da?page=1.html;223718;200;True;
2;searchpage;requests;1598065239.393596;-8.459945917129517;https://www.jobindex.dk/jobsoegning?lang=da?page=1.html;https://www.jobindex.dk/jobsoegning?lang=da?page=1.html;223718;200;True;
3;searchpage;requests;1598065323.0794873;-2.3799188137054443;https://www.jobindex.dk/jobsoegning?lang=da?page=1.html;https://www.jobindex.dk/jobsoegning?lang=da?page=1.html;223719;200;True;
4;searchpage;requests;1598065435.6707563;-3.179738998413086;https://www.jobindex.dk/jobsoegning?lang=da?page=1.html;https://www.jobindex.dk/jobsoegning?lang=da?page=1.html;223718;200;True;
5;searchpage;requests;1598065482.95017;-5.644313812255859;https://www.jobindex.dk/jobsoegning?lang=da?page=1.html;https://www.jobindex.dk/jobsoegning?lang=da?page=1.html;223718;200;True;
6;searchpage;requests;1598065489.2096572;-3.4835968017578125;https://www.jobindex.dk/jobsoegning?lang=da?page=2.html;https://www.jobindex.dk/jobsoegning?lang=da?page=2.html;223718;200;True;
7;searchpage;requests;1598065493.3002253;-5.209017992019653;https://www.jobindex.dk/jobsoegning?lang=da?page=3.html;https://www.jobindex.dk/jobsoegning?lang=da?page=3.html;223718;200;True;
8;searchpage;requests;1598065499.2331831;-8.987998723983765;https://www.jobindex.dk/jobsoegning?lang=da?page=4.html;https://www.jobindex.dk/jobsoegning?lang=da?page=4.html;223718;200;True;
9;searchpage;requests;1598065508.8314877;-38.22656273841858;https://www.jobindex.dk/jobsoegning?lang=da?page=5.html;;0;;False;HTTPSConnectionPool(host='www.jobindex.dk', port=443): Read timed out.
10;searchpage;requests;1598065547.5596602;-20.720781326293945;https://www.jobindex.dk/jobsoegning?lang=da?page=5.html;https://www.jobindex.dk/jobsoegning?lang=da?page=5.html;223718;200;True;
11;searchpage;requests;1598065568.8956175;-1.761812448501587;https://www.jobindex.dk/jobsoegning?lang=da?page=6.html;https://www.jobindex.dk/jobsoegning?lang=da?page=6.html;223718;200;True;
12;searchpage;requests;1598065571.2724462;-5.580552816390991;https://www.jobindex.dk/jobsoegning?lang=da?page=7.html;https://www.jobindex.dk/jobsoegning?lang=da?page=7.html;223718;200;True;
13;searchpage;requests;1598065577.4521916;-30.001563549041748;https://www.jobindex.dk/jobsoegning?lang=da?page=8.html;;0;;False;HTTPSConnectionPool(host='www.jobindex.dk', port=443): Read timed out. (read timeout=30)
14;searchpage;requests;1598065607.957066;-0.0031325817108154297;https://www.jobindex.dk/jobsoegning?lang=da?page=8.html;;0;;False;HTTPSConnectionPool(host='www.jobindex.dk', port=443): Max retries exceeded with url: /jobsoegning?lang=da?page=8.html (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x000001AFAF76D3C8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
15;searchpage;requests;1598065608.4674757;-0.00798940658569336;https://www.jobindex.dk/jobsoegning?lang=da?page=8.html;;0;;False;HTTPSConnectionPool(host='www.jobindex.dk', port=443): Max retries exceeded with url: /jobsoegning?lang=da?page=8.html (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x000001AFAF76D948>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
16;searchpage;requests;1598065608.9757066;-0.0030875205993652344;https://www.jobindex.dk/jobsoegning?lang=da?page=8.html;;0;;False;HTTPSConnectionPool(host='www.jobindex.dk', port=443): Max retries exceeded with url: /jobsoegning?lang=da?page=8.html (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x000001AFADF8AD88>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
17;searchpage;requests;1598065609.4831011;0.0;https://www.jobindex.dk/jobsoegning?lang=da?page=8.html;;0;;False;HTTPSConnectionPool(host='www.jobindex.dk', port=443): Max retries exceeded with url: /jobsoegning?lang=da?page=8.html (Caused by NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x000001AFAF76DB88>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))
18;searchpage;requests;1598065636.5899513;-2.812244415283203;https://www.jobindex.dk/jobsoegning?lang=da?page=1.html;https://www.jobindex.dk/jobsoegning?lang=da?page=1.html;223718;200;True;
19;searchpage;requests;1598065640.1532276;-1.2902438640594482;https://www.jobindex.dk/jobsoegning?lang=da?page=2.html;https://www.jobindex.dk/jobsoegning?lang=da?page=2.html;223718;200;True;
20;searchpage;requests;1598065642.1647568;-1.234518051147461;https://www.jobindex.dk/jobsoegning?lang=da?page=3.html;https://www.jobindex.dk/jobsoegning?lang=da?page=3.html;223718;200;True;
21;searchpage;requests;1598065643.9943464;-1.198521375656128;https://www.jobindex.dk/jobsoegning?lang=da?page=4.html;https://www.jobindex.dk/jobsoegning?lang=da?page=4.html;223718;200;True;
22;searchpage;requests;1598065645.851878;-1.0946934223175049;https://www.jobindex.dk/jobsoegning?lang=da?page=5.html;https://www.jobindex.dk/jobsoegning?lang=da?page=5.html;223719;200;True;
23;searchpage;requests;1598065647.545606;-1.370271921157837;https://www.jobindex.dk/jobsoegning?lang=da?page=6.html;https://www.jobindex.dk/jobsoegning?lang=da?page=6.html;223718;200;True;
24;searchpage;requests;1598065649.599019;-1.362152099609375;https://www.jobindex.dk/jobsoegning?lang=da?page=7.html;https://www.jobindex.dk/jobsoegning?lang=da?page=7.html;223718;200;True;
25;searchpage;requests;1598065651.592166;-1.2638695240020752;https://www.jobindex.dk/jobsoegning?lang=da?page=8.html;https://www.jobindex.dk/jobsoegning?lang=da?page=8.html;223718;200;True;
26;searchpage;requests;1598065653.5014033;-1.233891487121582;https://www.jobindex.dk/jobsoegning?lang=da?page=9.html;https://www.jobindex.dk/jobsoegning?lang=da?page=9.html;223718;200;True;
27;searchpage;requests;1598065655.3704166;-1.2224068641662598;https://www.jobindex.dk/jobsoegning?lang=da?page=10.html;https://www.jobindex.dk/jobsoegning?lang=da?page=10.html;223720;200;True;
28;searchpage;requests;1598065657.211992;-1.2552387714385986;https://www.jobindex.dk/jobsoegning?lang=da?page=11.html;https://www.jobindex.dk/jobsoegning?lang=da?page=11.html;223720;200;True;
