id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
0;jobpostings;requests;1597291174.9895847;-1.1106138229370117;https://job.jobnet.dk/CV/FindWork/Search?Offset=10160&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=10160&SortValue=CreationDate;105361;200;True;
1;jobpostings;requests;1597291177.1407197;-0.43581485748291016;https://job.jobnet.dk/CV/FindWork/Search?Offset=700&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=700&SortValue=CreationDate;104461;200;True;
2;jobpostings;requests;1597291178.6179676;-0.486297607421875;https://job.jobnet.dk/CV/FindWork/Search?Offset=7340&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=7340&SortValue=CreationDate;104710;200;True;
3;jobpostings;requests;1597291180.108757;-0.4672966003417969;https://job.jobnet.dk/CV/FindWork/Search?Offset=6360&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=6360&SortValue=CreationDate;104363;200;True;
4;jobpostings;requests;1597291181.5820944;-0.43234920501708984;https://job.jobnet.dk/CV/FindWork/Search?Offset=5020&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=5020&SortValue=CreationDate;104504;200;True;
5;jobpostings;requests;1597291183.0386283;-0.3868718147277832;https://job.jobnet.dk/CV/FindWork/Search?Offset=6560&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=6560&SortValue=CreationDate;103948;200;True;
6;jobpostings;requests;1597291184.4297934;-0.45612263679504395;https://job.jobnet.dk/CV/FindWork/Search?Offset=8660&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=8660&SortValue=CreationDate;104535;200;True;
7;jobpostings;requests;1597291185.907658;-0.4635436534881592;https://job.jobnet.dk/CV/FindWork/Search?Offset=5240&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=5240&SortValue=CreationDate;104265;200;True;
8;jobpostings;requests;1597291187.3902638;-0.469923734664917;https://job.jobnet.dk/CV/FindWork/Search?Offset=10320&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=10320&SortValue=CreationDate;105120;200;True;
9;jobpostings;requests;1597291188.899459;-0.4401133060455322;https://job.jobnet.dk/CV/FindWork/Search?Offset=620&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=620&SortValue=CreationDate;105852;200;True;
10;jobpostings;requests;1597291190.357206;-0.45182013511657715;https://job.jobnet.dk/CV/FindWork/Search?Offset=500&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=500&SortValue=CreationDate;103374;200;True;
11;jobpostings;requests;1597291191.8242717;-0.5181441307067871;https://job.jobnet.dk/CV/FindWork/Search?Offset=12700&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=12700&SortValue=CreationDate;104264;200;True;
12;jobpostings;requests;1597291193.3699703;-0.43834638595581055;https://job.jobnet.dk/CV/FindWork/Search?Offset=6120&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=6120&SortValue=CreationDate;104531;200;True;
13;jobpostings;requests;1597291194.8296595;-0.49449753761291504;https://job.jobnet.dk/CV/FindWork/Search?Offset=10520&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=10520&SortValue=CreationDate;104437;200;True;
14;jobpostings;requests;1597291196.325654;-0.4611783027648926;https://job.jobnet.dk/CV/FindWork/Search?Offset=11960&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=11960&SortValue=CreationDate;104447;200;True;
15;jobpostings;requests;1597291197.806228;-0.48096776008605957;https://job.jobnet.dk/CV/FindWork/Search?Offset=9920&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=9920&SortValue=CreationDate;105352;200;True;
16;jobpostings;requests;1597291199.2980375;-0.7894465923309326;https://job.jobnet.dk/CV/FindWork/Search?Offset=1400&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=1400&SortValue=CreationDate;106696;200;True;
17;jobpostings;requests;1597291201.0997717;-0.5414347648620605;https://job.jobnet.dk/CV/FindWork/Search?Offset=5080&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=5080&SortValue=CreationDate;104273;200;True;
18;jobpostings;requests;1597291202.669918;-2.622624158859253;https://job.jobnet.dk/CV/FindWork/Search?Offset=980&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=980&SortValue=CreationDate;104344;200;True;
19;jobpostings;requests;1597291206.3133745;-0.6185436248779297;https://job.jobnet.dk/CV/FindWork/Search?Offset=9820&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=9820&SortValue=CreationDate;104746;200;True;
20;jobpostings;requests;1597293136.9627006;-1.05171537399292;https://job.jobnet.dk/CV/FindWork/Search?Offset=5440&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=5440&SortValue=CreationDate;105162;200;True;
21;jobpostings;requests;1597293139.0340714;-0.4984269142150879;https://job.jobnet.dk/CV/FindWork/Search?Offset=11800&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=11800&SortValue=CreationDate;103751;200;True;
22;jobpostings;requests;1597293140.5416906;-0.44313549995422363;https://job.jobnet.dk/CV/FindWork/Search?Offset=11700&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=11700&SortValue=CreationDate;104185;200;True;
23;jobpostings;requests;1597293142.0041828;-0.4536855220794678;https://job.jobnet.dk/CV/FindWork/Search?Offset=4800&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=4800&SortValue=CreationDate;102837;200;True;
24;jobpostings;requests;1597293143.4643872;-0.47157859802246094;https://job.jobnet.dk/CV/FindWork/Search?Offset=12600&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=12600&SortValue=CreationDate;106516;200;True;
25;jobpostings;requests;1597293144.959729;-0.4011192321777344;https://job.jobnet.dk/CV/FindWork/Search?Offset=11240&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=11240&SortValue=CreationDate;103989;200;True;
26;jobpostings;requests;1597293146.3786547;-0.42739319801330566;https://job.jobnet.dk/CV/FindWork/Search?Offset=8980&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=8980&SortValue=CreationDate;104764;200;True;
27;jobpostings;requests;1597293147.829672;-0.44026994705200195;https://job.jobnet.dk/CV/FindWork/Search?Offset=6540&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=6540&SortValue=CreationDate;105937;200;True;
28;jobpostings;requests;1597293149.287243;-0.39954113960266113;https://job.jobnet.dk/CV/FindWork/Search?Offset=13980&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=13980&SortValue=CreationDate;104627;200;True;
29;jobpostings;requests;1597293150.701255;-0.5036473274230957;https://job.jobnet.dk/CV/FindWork/Search?Offset=12000&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=12000&SortValue=CreationDate;104004;200;True;
30;jobpostings;requests;1597293152.2214088;-0.47010159492492676;https://job.jobnet.dk/CV/FindWork/Search?Offset=7120&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork/Search?Offset=7120&SortValue=CreationDate;103860;200;True;
