id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
0;download_jobposting;requests;1597292990.2105577;-1.5348234176635742;https://job.jobnet.dk/CV/FindWork?Offset=2960&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork?Offset=2960&SortValue=CreationDate;19916;200;True;
1;download_jobposting;requests;1597293089.970482;-0.2156982421875;https://job.jobnet.dk/CV/FindWork?Offset=1280&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork?Offset=1280&SortValue=CreationDate;19916;200;True;
2;jobs;requests;1597293117.4472291;-0.21605825424194336;https://job.jobnet.dk/CV/FindWork?Offset=2420&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork?Offset=2420&SortValue=CreationDate;19916;200;True;
3;jobpostings;requests;1597293186.5981205;-0.20205998420715332;https://job.jobnet.dk/CV/FindWork?Offset=9600&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork?Offset=9600&SortValue=CreationDate;19916;200;True;
4;jobs;requests;1597293263.7862136;-0.21559810638427734;https://job.jobnet.dk/CV/FindWork?Offset=13140&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork?Offset=13140&SortValue=CreationDate;19917;200;True;
5;jobs;requests;1597293272.4984348;-0.2001965045928955;https://job.jobnet.dk/CV/FindWork?Offset=8320&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork?Offset=8320&SortValue=CreationDate;19916;200;True;
6;jobs;requests;1597293402.9369226;-0.8174779415130615;https://job.jobnet.dk/CV/FindWork?Offset=1880&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork?Offset=1880&SortValue=CreationDate;19916;200;True;
7;jobs;requests;1597293545.7576067;-0.8098447322845459;https://job.jobnet.dk/CV/FindWork?Offset=12940&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork?Offset=12940&SortValue=CreationDate;19917;200;True;
8;jobs;requests;1597293602.9487953;-0.2004079818725586;https://job.jobnet.dk/CV/FindWork?Offset=9880&SortValue=CreationDate;https://job.jobnet.dk/CV/FindWork?Offset=9880&SortValue=CreationDate;19916;200;True;
9;jobs;requests;1597293741.3203297;-1.1569201946258545;https://job.jobnet.dk/CV/FindWork/Search?Offset=6300&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=6300&SortValue=BestMatch;104546;200;True;
10;jobs;requests;1597293752.7083666;-0.41585469245910645;https://job.jobnet.dk/CV/FindWork/Search?Offset=13820&SortValue=BestMatch;https://job.jobnet.dk/CV/FindWork/Search?Offset=13820&SortValue=BestMatch;103629;200;True;
